Date,Time,T.ID,GP.Vol,NP.Vol,Wat.Vol,GT.Vol,NT.Vol,Prd.Lvl,Wat.Lvl,Ullage,Avg.Tmp,Prd.Wgt,Prd.Dens
2017/09/07,00:43:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:43:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:43:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:43:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:44:00,01,9954,9819,0,9954,9819,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:44:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:44:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:44:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:45:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.18,nan,745,
2017/09/07,00:45:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:45:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:45:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:46:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:46:00,02,5211,5141,0,5211,5141,83.18,-0.23,10747,31.09,nan,745,
2017/09/07,00:46:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:46:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:47:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:47:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:47:00,03,11948,11775,1,11949,11775,116.02,0.12,8476,31.91,nan,745,
2017/09/07,00:47:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:48:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:48:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:48:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:48:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:49:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:49:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:49:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:49:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:50:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:50:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:50:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:50:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:51:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:51:00,02,5211,5141,0,5211,5141,83.18,-0.22,10747,31.09,nan,745,
2017/09/07,00:51:00,03,11948,11775,1,11949,11776,116.03,0.12,8476,31.91,nan,745,
2017/09/07,00:51:00,04,26371,26066,0,26371,26066,170.08,-0.46,5321,33.27,nan,826,
2017/09/07,00:52:00,01,9954,9818,0,9954,9818,136.41,-0.41,6004,31.19,nan,745,
2017/09/07,00:52:00,02,5198,5127,0,5198,5127,83.02,-0.23,10761,31.09,nan,745,
